id;Nombre;Correo electrónico;País;Estado;Ciudad;C.P;RFC;Teléfono;Tipo de Compañía
CLI-0001;Anna-diana Rodenborch;arodenborch0@moonfruit.com;Guatemala;Baja Verapaz;San Jerónimo;15007;412-20-9271;(402) 3726218;Compañía
CLI-0002;Axe Rae;arae1@list-manage.com;Guatemala;Guatemala;San Luis;17009;512-59-0037;(409) 1485853;Individual
CLI-0003;Durant Shervil;dshervil2@deviantart.com;Guatemala;Guatemala;Morales;18004;818-11-1415;(552) 8081987;Compañía
CLI-0004;Arturo Rieflin;arieflin3@hibu.com;Guatemala;Guatemala;Pueblo Nuevo Viñas;6013;100-39-7516;(578) 5192706;Compañía
CLI-0005;Farica Minor;fminor4@privacy.gov.au;Guatemala;Escuintla;San Vicente Pacaya;5012;523-38-0414;(879) 8186444;Individual
CLI-0006;Lian Sellstrom;lsellstrom5@who.int;Guatemala;Guatemala;San Pedro Necta;13006;637-78-9678;(590) 8448401;Individual
CLI-0007;Karlens Inkpin;kinkpin6@miibeian.gov.cn;Guatemala;Guatemala;El Quetzal;12020;605-77-0404;(553) 7522922;Compañía
CLI-0008;Ryon Lead;rlead7@paypal.com;Guatemala;Chimaltenango;Santa Apolonia;4005;695-54-0997;(302) 6831027;Individual
CLI-0009;Sioux Bernasek;sbernasek8@reverbnation.com;Guatemala;Retalhuleu;Champerico;11007;143-35-6955;(650) 1134004;Compañía
CLI-0010;Selby MacSweeney;smacsweeney9@ehow.com;Guatemala;Jutiapa;El Adelanto;22009;855-88-6572;(714) 8114971;Individual
CLI-0011;Ilaire Lundy;ilundya@alexa.com;Guatemala;Guatemala;Lívingston;18002;210-48-8601;(980) 5706882;Individual
CLI-0012;Cal Spykings;cspykingsb@cdc.gov;Guatemala;Escuintla;Escuintla;5001;445-64-6517;(856) 6014007;Individual
CLI-0013;Shanna Fullegar;sfullegarc@rakuten.co.jp;Guatemala;Zacapa;Teculután;19005;653-62-1058;(498) 5364624;Compañía
CLI-0014;Dolores Tanguy;dtanguyd@tripod.com;Guatemala;Totonicapán;San Cristóbal Totonicapán;8002;613-55-7820;(828) 4914467;Individual
CLI-0015;April Eustice;aeusticee@bbb.org;Guatemala;Guatemala;San Miguel Dueñas;3017;406-71-7600;(327) 3195645;Compañía
CLI-0016;Stanly Gercke;sgerckef@usgs.gov;Guatemala;Guatemala;San Luis Jilotepeque;21003;739-42-2746;(663) 8242396;Individual
CLI-0017;Keenan Ryton;krytong@cafepress.com;Guatemala;Alta Verapaz;Tucurú;16006;638-57-3983;(912) 3970355;Compañía
CLI-0018;Lane Matskiv;lmatskivh@google.es;Guatemala;Guatemala;San Juan Atitán;13020;223-38-2983;(706) 8680661;Compañía
CLI-0019;Amalle Gadney;agadneyi@friendfeed.com;Guatemala;Guatemala;San Juan Bautista;10016;202-78-6323;(913) 5698451;Individual
CLI-0020;Zoe Dunderdale;zdunderdalej@theguardian.com;Guatemala;Totonicapán;San Cristóbal Totonicapán;8002;215-44-2660;(484) 7276935;Compañía
