id;Nombre del empleado;Puesto de trabajo;Teléfono celular;Teléfono laboral;Correo electrónico;Area de trabajo;Departamento;Idioma;Número de Cuenta Bancaria;Distancia casa-trabajo;Estado civil;Nivel de certificado;Escuela;País;No identificación;Género;País de nacimiento;Número de hijos;Tipo de empleado;ID de credencial
REF0001;Ferdinand Jacklin;Paralegal;(689) 4627914;(392) 8732809;fjacklin0@tinypic.com;Marketing;Administration / Marketing;Español;TN25 1507 8993 6606 2467 2935;586;Viudo(a);Maestro;Universidad Mariano Gálvez;Guatemala;18-536-8228;Male;Guatemala;0;Autónomo;67-4028190
REF0002;Flory Jirus;Professor;(509) 9525685;(665) 3806072;fjirus1@wordpress.com;Training;Administration / Human Resources / Training;Español;FR06 4360 0287 03ZO XU0U EROW O19;229;Viudo(a);Licenciado;Centro Universitario de Occidente;Guatemala;06-994-4150;Female;Guatemala;2;Estudiante;36-2297627
REF0003;Teddy Fatharly;Business Systems Development Analyst;(800) 2181334;(946) 3903274;tfatharly2@geocities.jp;Research and Development;Administration / Research and Development;Español;FI90 8916 2366 9127 58;507;Soltero(a);Licenciado;Universidad de San Carlos de Guatemala;Guatemala;62-011-9452;Female;Guatemala;2;Contratista;29-3624036
REF0004;Pammy Usmar;Desktop Support Technician;(746) 3041475;(479) 9902310;pusmar3@latimes.com;Marketing;Administration / Marketing;Español;GB08 KIBC 7904 5109 6759 80;276;Divorciado;Licenciado;Universidad Galileo;Guatemala;87-995-9844;Female;Guatemala;3;Contratista;29-6120270
REF0005;Wash Beazley;Business Systems Development Analyst;(460) 8921202;(856) 8082636;wbeazley4@oakley.com;Accounting;Administration / Legal / Accounting;Español;EE57 7561 4521 3412 7291;238;Soltero(a);Doctor;Universidad del Valle de Guatemala;Guatemala;66-828-5910;Male;Guatemala;0;Aprendiz;50-8000118
REF0006;Urbanus O'Brallaghan;Financial Analyst;(920) 1782586;(339) 8564965;uobrallaghan5@hud.gov;Legal;Administration / Legal;Español;CR64 6591 5820 8014 7802 1;311;Divorciado;Doctor;Universidad Rafael Landívar;Guatemala;11-453-3445;Female;Guatemala;1;Aprendiz;29-7917139
REF0007;Mychal Shorie;Desktop Support Technician;(442) 4549506;(368) 2449197;mshorie6@desdev.cn;Business Development;Administration / Research and Development / Business Development;Español;BR30 2771 7804 7872 5647 1127 220K 6;834;Viudo(a);Licenciado;Universidad Galileo;Guatemala;29-729-3362;Male;Guatemala;2;Autónomo;90-2248134
REF0008;Althea Dibdale;Assistant Media Planner;(789) 1731895;(663) 8038624;adibdale7@shinystat.com;Human Resources;Administration / Human Resources;Español;IS35 4884 4137 6008 5913 0698 95;742;Divorciado;Licenciado;Universidad Francisco Marroquín;Guatemala;37-843-8436;Female;Guatemala;0;Empleado;38-5653641
REF0009;Teador Idale;Pharmacist;(566) 3984613;(825) 1688636;tidale8@wunderground.com;Training;Administration / Human Resources / Training;Español;IS29 9276 0091 4671 1758 7849 77;754;Viudo(a);Doctor;Universidad Francisco Marroquín;Guatemala;65-993-0210;Male;Guatemala;0;Estudiante;76-1987213
REF0010;Winona Rayner;Project Manager;(806) 2081880;(198) 6920270;wrayner9@vinaora.com;Marketing;Administration / Marketing;Español;LT57 2892 5848 5240 7770;628;Casado (a);Maestro;Universidad de San Carlos de Guatemala;Guatemala;33-556-7646;Female;Guatemala;4;Empleado;40-2186528
REF0011;Griffy Estrella;Business Systems Development Analyst;(517) 4759240;(742) 3997297;gestrellaa@icq.com;Sales;Administration / Sales;Español;AT23 5285 2972 2731 6565;129;Divorciado;Doctor;Centro Universitario de Occidente;Guatemala;25-229-3661;Male;Guatemala;5;Aprendiz;07-8187084
REF0012;Melisenda Giddens;Staff Scientist;(857) 9152560;(534) 6352658;mgiddensb@ucoz.com;Business Development;Administration / Research and Development / Business Development;Español;SA18 00ZJ ANRP MBDL VPRQ OI0P;571;Casado (a);Licenciado;Universidad del Istmo;Guatemala;04-659-4133;Male;Guatemala;1;Aprendiz;40-2633740
REF0013;Hale Mangham;Web Designer II;(766) 4411042;(428) 1045146;hmanghamc@cloudflare.com;Support;Administration / Human Resources / Support;Español;GR32 3958 494R 6ZMT OCCM TQFJ A5Y;612;Soltero(a);Licenciado;Universidad del Valle de Guatemala;Guatemala;97-414-9353;Female;Guatemala;5;Contratista;29-4760493
REF0014;Lindy Cavey;Sales Representative;(309) 3317252;(728) 4502888;lcaveyd@irs.gov;Services;Administration / Human Resources / Services;Español;FR10 3451 1243 01RT RABB L7XC W66;893;Casado (a);Maestro;Universidad Mariano Gálvez;Guatemala;30-269-0279;Female;Guatemala;3;Autónomo;72-1366032
REF0015;Bianka Kevern;Director of Sales;(955) 8719056;(325) 2982844;bkeverne@ed.gov;Services;Administration / Human Resources / Services;Español;ME65 5858 4399 8362 1679 15;634;Viudo(a);Licenciado;Universidad del Valle de Guatemala;Guatemala;72-911-7750;Female;Guatemala;2;Contratista;04-3699794
REF0016;Neils Logie;Sales Representative;(169) 1893304;(718) 5914571;nlogief@parallels.com;Training;Administration / Human Resources / Training;Español;FR46 4417 5089 62BY TMZM UV85 S31;905;Viudo(a);Licenciado;Universidad Mariano Gálvez;Guatemala;04-057-8622;Male;Guatemala;3;Estudiante;84-6642339
REF0017;Addie Rochford;Nurse Practicioner;(347) 7078179;(172) 9701474;arochfordg@macromedia.com;Training;Administration / Human Resources / Training;Español;GI24 CXZG L6E1 JJJN KAJU LYC;819;Viudo(a);Licenciado;Universidad del Valle de Guatemala;Guatemala;18-218-2811;Male;Guatemala;0;Estudiante;44-0585672
REF0018;Randolph Bullent;Assistant Manager;(857) 8840440;(864) 2052541;rbullenth@un.org;Training;Administration / Human Resources / Training;Español;FR35 6019 3167 94OD LKXF EJUO F63;547;Soltero(a);Doctor;Universidad Rural de Guatemala;Guatemala;14-157-2291;Male;Guatemala;2;Aprendiz;68-6605988
REF0019;Inglis Thibodeaux;Nurse Practicioner;(822) 5164377;(115) 4050491;ithibodeauxi@ucoz.com;Sales;Administration / Sales;Español;AE59 7981 5153 2442 4612 571;219;Casado (a);Maestro;Universidad del Istmo;Guatemala;27-792-2453;Female;Guatemala;0;Empleado;11-0741963
