id;Nombre;Correo electrónico;País;Estado;Ciudad;C.P;RFC;Teléfono;Tipo de Compañía
PROV-0001;Bren Tome;btome0@desdev.cn;Guatemala;Guatemala;Jerez;22010;797-67-0493;(575) 7409605;Compañía
PROV-0002;Porty Tees;ptees1@meetup.com;Guatemala;Sololá;Concepción;7023;544-58-2828;(548) 7216113;Individual
PROV-0003;Ford Simeone;fsimeone2@techcrunch.com;Guatemala;Jutiapa;El Adelanto;22009;578-78-2306;(113) 8620579;Individual
PROV-0004;Murial Iacopetti;miacopetti3@apple.com;Guatemala;Chimaltenango;Zaragoza;4015;330-71-1695;(548) 3619756;Individual
PROV-0005;Melesa MacElharge;mmacelharge4@eepurl.com;Guatemala;Chimaltenango;Parramos;4014;684-25-9484;(984) 4738665;Compañía
PROV-0006;Gaby Thurber;gthurber5@is.gd;Guatemala;Guatemala;Comitancillo;12004;707-92-1289;(520) 8352878;Individual
PROV-0007;George Berrill;gberrill6@multiply.com;Guatemala;Quetzaltenango;Ostuncalco;9009;644-51-3248;(108) 6110359;Individual
PROV-0008;Lynnea Zimmerman;lzimmerman7@sitemeter.com;Guatemala;Guatemala;Chuarrancho;1061;869-30-1483;(250) 3046065;Individual
PROV-0009;Renate Brick;rbrick8@phoca.cz;Guatemala;Guatemala;San Francisco Zapotitlán;10009;830-41-5890;(800) 7062954;Compañía
PROV-0010;Lois Postlewhite;lpostlewhite9@mail.ru;Guatemala;Guatemala;Pajapita;12022;709-67-5319;(693) 2372770;Individual
PROV-0011;Fabien McMorland;fmcmorlanda@lulu.com;Guatemala;Quetzaltenango;Ostuncalco;9009;290-22-9545;(891) 3200145;Compañía
PROV-0012;Cos Jerrans;cjerransb@sphinn.com;Guatemala;Guatemala;Sayaxché;12008;403-23-1166;(765) 8169026;Compañía
PROV-0013;Alverta Coorington;acooringtonc@economist.com;Guatemala;Alta Verapaz;San Pedro Carchá;16009;543-86-6992;(394) 8410518;Individual
PROV-0014;Arlinda Hawley;ahawleyd@naver.com;Guatemala;Jutiapa;Jutiapa;22001;468-71-1297;(988) 4440626;Individual
PROV-0015;Chaim Barbera;cbarberae@theguardian.com;Guatemala;Alta Verapaz;Cahabón;16012;431-32-9008;(561) 9425777;Compañía
PROV-0016;Brodie Kerwen;bkerwenf@guardian.co.uk;Guatemala;Suchitepéquez;Zunilito;10009;856-89-6805;(685) 4757844;Individual
PROV-0017;Jackqueline Lendon;jlendong@ask.com;Guatemala;Retalhuleu;El Asintal;11009;213-37-5906;(922) 8948070;Individual
PROV-0018;Karlotte Smurfitt;ksmurfitth@yolasite.com;Guatemala;Alta Verapaz;Chisec;18006;306-51-0510;(714) 5607029;Compañía
PROV-0019;Elicia Duester;eduesteri@aol.com;Guatemala;Guatemala;San Juan Atitán;13020;171-96-8955;(903) 8730113;Individual
PROV-0020;Tera Isaq;tisaqj@dyndns.org;Guatemala;Guatemala;Santa Bárbara;13010;609-51-7574;(236) 4221457;Individual
PROV-0021;Davey Trobe;dtrobek@behance.net;Guatemala;Guatemala;Sibinal;12008;248-37-0919;(562) 4657978;Compañía
PROV-0022;Ros Zelake;rzelakel@reuters.com;Guatemala;Sacatepéquez;Ciudad Vieja;3012;127-60-4823;(390) 8888477;Individual
PROV-0023;Alane Swiffan;aswiffanm@cdbaby.com;Guatemala;Huehuetenango;Cuilco;13004;185-36-4444;(505) 2367515;Individual
